-0.0994637, -0.501592, 0.450128, -0.0890057, 0.342454, -0.837157, -0.603788, 0.163617, -1.08361, -0.426731, -0.4276, -0.129508, -0.706248
0.552928, 1.08746, 0.924153, 0.769551, 0.782791, -0.534464, 0.406334, -0.670765, -0.0521343, -0.283134, 0.875221, -0.365415, 0.142516
-1.25776, -0.976767, 0.915962, -1.00159, -0.296437, 0.53677, 0.0477801, -0.65618, -0.113946, -0.280178, -0.257024, 0.701064, -0.677221
0.871996, 0.180541, 0.595743, 0.148802, 0.997236, -0.315226, -0.166503, 0.784988, 1.10523, -0.561281, 1.06213, 0.245883, -0.582159
-0.82131, 0.24394, 0.752418, -0.452087, -0.98652, -1.0048, -0.151268, -0.958311, -0.649998, 0.846321, 0.71711, 0.631315, -0.543141
0.18869, -0.216779, 0.545478, 0.166278, 0.426643, 0.115156, -0.87618, -0.047769, 0.994582, 0.999889, 0.511129, -0.33203, 0.587659
-0.0194803, -0.407221, 0.331796, -0.902694, -0.295095, 0.685098, 0.558244, -0.474236, -0.747187, 0.617177, -0.433709, 0.248918, 0.780188
0.348808, 0.367061, 0.747413, 0.0616276, 0.969494, -0.136714, 0.692748, 0.471965, 0.993069, 0.13685, -0.474873, 1.02318, 0.973321
-1.22989, 0.56866, 0.204913, -0.577857, -0.0804628, -0.581227, 0.395292, -0.630401, -0.501903, -0.877316, -0.871851, -0.691163, -0.150571
-0.53759, -0.802107, 0.758791, -1.0936, -0.969874, -0.104188, 0.396686, 0.801938, 0.605196, 0.155192, -0.403887, 0.340141, -0.43428
-0.558178, -0.597467, 0.149308, -0.608814, -0.773692, 0.436575, -0.795843, 0.531088, -0.752875, 0.437158, -0.910805, 0.85917, -0.938321
0.173953, -0.609001, -0.494913, 0.75294, 0.566976, 0.369183, 0.985903, 0.362194, 0.66583, -0.669364, -0.653646, 0.144571, -0.727574
-1.6334, -0.881685, -0.200297, -0.0397494, -0.340717, 0.294114, -1.16301, -1.05645, 0.409969, -1.10538, 0.409408, -1.12345, 0.580185